Feature	Gain	Cover	Frequency
tcallcenter	0.0026113844224373	0.00271044513201836	0.00123444090114186
Visa_mpagosdolares	0.00244741954718312	0.00464528940224203	0.00421767307890135
mplazo_fijo_dolares	0.00241570114486252	0.0172853434999307	0.00277749202756918
cmobile_app_trx	0.00234061755074864	0.00179405249562179	0.00390906285361588
Visa_mconsumosdolares	0.00233612714221095	0.00320720235132121	0.00411480300380619
mextraccion_autoservicio	0.00213173485886148	0.00817276258333247	0.0095669169838494
catm_trx_other	0.00158822834538233	0.000775732296434005	0.000617220450570929
Master_mconsumospesos	0.00156963057192527	0.00463647822622929	0.00421767307890135
Master_fultimo_cierre	0.00153591117154258	0.00222755426716357	0.00370332270342557
ccajas_consultas	0.00149965023570732	0.00887548799280369	0.00164592120152248
Visa_Finiciomora	0.00136543109446672	0.00493269651700329	0.00123444090114186
ccajas_trx	0.0013431801687769	0.00344596348399946	0.00144018105133217
cseguro_accidentes_personales	0.00126675869680521	0.00678610186263408	0.00216027157699825
Master_mconsumototal	0.00119685954579614	0.00429887318960538	0.00277749202756918
ctarjeta_master	0.00118282741162218	0.000530439873217338	0.000925830675856393
catm_trx	0.0011741242715838	0.00526275417222328	0.00308610225285464
ccaja_seguridad	0.00116542668375782	0.00612812994785068	0.00144018105133217
Visa_fultimo_cierre	0.00112820561896702	0.0015705883328888	0.00267462195247403
Visa_status	0.00110927853668926	0.00447924195617733	0.00123444090114186
Visa_msaldodolares	0.00107890884531743	0.00211372681433564	0.00185166135171279
Master_msaldodolares	0.000894065316192523	0.000128836277602374	0.00020574015019031
mtarjeta_master_consumo	0.000843300578305842	0.00207362408380831	0.00154305112642732
Master_mpagado	0.000761180103407823	0.00646025011587227	0.00174879127661763
cinversion1	0.000717229644071204	0.00633401725516408	0.000822960600761239
Master_cconsumos	0.000686114937970838	0.00144768177959105	0.00154305112642732
Visa_delinquency	0.000663913583133727	0.00144301584989525	0.000720090525666084
ctarjeta_master_trx	0.000636677240637522	0.000966812986110382	0.00144018105133217
mcheques_emitidos	0.000615526403439467	0.00241720434134275	0.000308610225285464
mtarjeta_visa_descuentos	0.000592072872793432	0.00525146090359879	0.00226314165209341
tpaquete7	0.000590021664801636	0.00463319236024633	0.000720090525666084
tmobile_app	0.000585706093587328	0.00552366709680506	0.000925830675856393
tpaquete9	0.000534282112748979	0.003043030376456	0.000822960600761239
ccajas_extracciones	0.000437598679762532	0.00252346419205302	0.000617220450570929
matm_other	0.000367697584537594	0.00111121921329352	0.00102870075095155
internet	0.000294792002255132	0.00188701722704718	0.000514350375475774
tpaquete1	0.000279516935026197	0.005311501257875	0.000720090525666084
Master_mconsumosdolares	0.00027142715056803	0.000374730267052843	0.000822960600761239
ctarjeta_visa	0.000263785603389993	0.000279045849629249	0.000617220450570929
mttarjeta_master_debitos_automaticos	0.000252377377265807	0.00185155009514503	0.000617220450570929
mforex_sell	0.000239677482565291	0.000826304301500871	0.000514350375475774
Visa_madelantopesos	0.000221576029799219	0.000206155231770478	0.000720090525666084
cplazo_fijo	0.000199528192092375	0.00115540652799658	0.000308610225285464
ccheques_depositados	0.00018663508102059	0.00372130388783562	0.000514350375475774
Master_mpagosdolares	0.000181870593590763	0.000469383428075634	0.00123444090114186
minversion2	0.000180228067046094	0.00392029087658483	0.000514350375475774
ctarjeta_master_debitos_automaticos	0.000179252194100221	0.00184859787093881	0.000514350375475774
Master_madelantopesos	0.000164453039654753	0.000122087614391232	0.00020574015019031
ccajeros_propios_descuentos	0.000145070569038415	0.00227751459563977	0.000411480300380619
minversion1_pesos	0.000137049891977588	0.000681508825578216	0.000102870075095155
mcaja_ahorro_adicional	0.000135584190795522	0.00134073947979201	0.000308610225285464
cseguro_auto	8.73406918711722e-05	0.00238631214592456	0.000308610225285464
ccajas_depositos	7.75472952368976e-05	0.00139457713012809	0.00020574015019031
cseguro_vivienda	7.72312615826741e-05	0.000141984796712622	0.000102870075095155
Master_delinquency	5.1618569665314e-05	0.000228190754570005	0.000102870075095155
ctarjeta_visa_descuentos	5.06234782144189e-05	0.000659028447076382	0.000514350375475774
Visa_cadelantosefectivo	2.7227391529043e-05	3.8292976647492e-05	0.000102870075095155
Master_madelantodolares	9.22393566608024e-06	8.49371080701202e-05	0.000102870075095155
cforex	8.63058171650001e-06	0.000192298987679287	0.000308610225285464
mcajeros_propios_descuentos	6.30519364411545e-06	0.000209051849013912	0.000102870075095155
Master_cadelantosefectivo	2.19868879165348e-12	3.74538170272301e-05	0.000102870075095155
cforex_sell	1.87342818601894e-12	0.000212565198026454	0.000411480300380619
