fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220531 104001	0	0	0	1	hist	lossguide	256	0	1	0.169664147019503	0.481609219573438	2	513	0.0408006420029172	12	5487000	1
20220531 104046	0	0	0	1	hist	lossguide	256	0	1	0.0957776807424379	0.955905296383426	5	637	0.0268343506705908	20	9983000	2
20220531 104121	0	0	0	1	hist	lossguide	256	0	1	0.185243558907881	0.643981572678313	3	820	0.0313019191244772	11	8158000	3
20220531 104151	0	0	0	1	hist	lossguide	256	0	1	0.157832347507705	0.305529836323112	7	424	0.0373826275080016	10	7692000	4
20220531 104246	0	0	0	1	hist	lossguide	256	0	1	0.0653981569663156	0.724497425919399	5	714	0.023017924890155	34	10625000	5
20220531 104326	0	0	0	1	hist	lossguide	256	0	1	0.10564531692164	0.692201795680448	9	398	0.0494636804549373	33	7013000	6
20220531 104352	0	0	0	1	hist	lossguide	256	0	1	0.274884178636479	0.527461514389142	4	28	0.0198801750394826	18	9690000	7
20220531 104418	0	0	0	1	hist	lossguide	256	0	1	0.148516867771395	0.22611770324409	0	724	0.02799965517479	1	878000	8
20220531 104444	0	0	0	1	hist	lossguide	256	0	1	0.254977868330083	0.5896021584142	0	333	0.0343424415730018	1	1425000	9
20220531 104652	0	0	0	1	hist	lossguide	256	0	1	0.0162924240452703	0.628274165000767	10	517	0.0149781098691165	131	13392000	10
20220531 104720	0	0	0	1	hist	lossguide	256	0	1	0.238836721583735	0.788749627387151	8	808	0.00878811281290837	9	10888000	11
20220531 104758	0	0	0	1	hist	lossguide	256	0	1	0.11632534011174	0.820285053048283	6	208	0.0306210996141696	17	9382000	12
20220531 104830	0	0	0	1	hist	lossguide	256	0	1	0.129208551356453	0.279593881675974	7	138	0.0133262709840589	13	12163000	13
20220531 104902	0	0	0	1	hist	lossguide	256	0	1	0.21064154529653	0.398928059265018	4	951	0.0444412010421123	12	6410000	14
20220531 105020	0	0	0	1	hist	lossguide	256	0	1	0.0491742083641002	0.88306680880487	2	1007	0.0112735727224693	22	11926000	15
20220531 105045	0	0	0	1	hist	lossguide	256	0	1	0.285611808916554	0.420207212166861	6	54	0.0475800218007256	5	7470000	16
20220531 105133	0	0	0	1	hist	lossguide	256	0	1	0.0729776381946867	0.871651644650847	8	903	0.0437354291245962	34	7879000	17
20220531 105207	0	0	0	1	hist	lossguide	256	0	1	0.223206691156956	0.963082350604236	1	164	0.0183928405264548	4	7569000	18
20220531 105234	0	0	0	1	hist	lossguide	256	0	1	0.26712985932047	0.344125520065427	10	610	0.0229086908870765	17	10384000	19
20220531 105423	0	0	0	1	hist	lossguide	256	0	1	0.034126012095483	0.474170783841983	1	301	0.0392481365682518	41	3924000	20
20220531 105659	0	0	0	1	hist	lossguide	256	0	1	0.0107855932387624	0.641640423440004	10	233	0.00837945006095764	58	12136000	21
20220531 110035	0	0	0	1	hist	lossguide	256	0	1	0.010028389112804	0.358645654026852	10	1023	0.0141585802321839	318	13339000	22
20220531 110416	0	0	0	1	hist	lossguide	256	0	1	0.0100282348498708	0.407360397581635	9	658	0.0138074639253929	303	13162000	23
20220531 110754	0	0	0	1	hist	lossguide	256	0	1	0.0101861482586911	0.741925886496584	10	1002	0.0153760981176531	300	13279000	24
20220531 111154	0	0	0	1	hist	lossguide	256	0	1	0.0102624391264307	0.999619069473672	4	470	0.00841118074682446	111	12386000	25
20220531 111514	0	0	0	1	hist	lossguide	256	0	1	0.010187689428592	0.5246584868477	10	756	0.0133864091743151	246	13447000	26
20220531 111848	0	0	0	1	hist	lossguide	256	0	1	0.0103559987605386	0.942689395049191	6	1024	0.0101051406030015	110	12676000	27
20220531 112320	0	0	0	1	hist	lossguide	256	0	1	0.0100902034119345	0.22233943557436	10	584	0.0140723655950517	518	13156000	28
20220531 112704	0	0	0	1	hist	lossguide	256	0	1	0.0100746399207666	0.981999085442296	7	457	0.0135572906213719	189	13196000	29
20220531 113039	0	0	0	1	hist	lossguide	256	0	1	0.0100115197555496	0.604963192309963	7	527	0.0118384799576026	201	13133000	30
20220531 113421	0	0	0	1	hist	lossguide	256	0	1	0.0101658307958474	0.96023130945471	10	612	0.0142895358811136	271	13594000	31
20220531 113658	0	0	0	1	hist	lossguide	256	0	1	0.010091487770846	0.913266516534671	6	2	0.00995716161096773	821	11055000	32
20220531 114024	0	0	0	1	hist	lossguide	256	0	1	0.0102143107694293	0.999500948530647	8	801	0.014525975437884	169	12948000	33
20220531 114403	0	0	0	1	hist	lossguide	256	0	1	0.0100105133096738	0.979686987060914	10	627	0.0176703369499187	267	12632000	34
20220531 114459	0	0	0	1	hist	lossguide	256	0	1	0.0582722302655787	0.87307997172861	10	557	0.01316779936713	36	13341000	35
20220531 114841	0	0	0	1	hist	lossguide	256	0	1	0.0106142356806888	0.983562503231731	4	1012	0.0136343848005178	88	12368000	36
20220531 115206	0	0	0	1	hist	lossguide	256	0	1	0.0101259168290111	0.99020830711048	10	1020	0.0121688510227314	216	13368000	37
20220531 115528	0	0	0	1	hist	lossguide	256	0	1	0.0100121910282877	0.806567733205863	10	608	0.0121934281075524	213	13400000	38
20220531 115922	0	0	0	1	hist	lossguide	256	0	1	0.0100121517498257	0.298437429786335	7	1020	0.0136934051400871	290	13324000	39
20220531 120023	0	0	0	1	hist	lossguide	256	0	1	0.0443013116877531	0.243652842551158	4	1010	0.00833791045627585	11	11931000	40
20220531 120255	0	0	0	1	hist	lossguide	256	0	1	0.0131699847862539	0.994057579377292	10	426	0.0135981323201557	131	13176000	41
20220531 120641	0	0	0	1	hist	lossguide	256	0	1	0.010437051705798	0.451171448091916	7	630	0.0147624131660991	265	13398000	42
20220531 120739	0	0	0	1	hist	lossguide	256	0	1	0.0712830936134284	0.700850831028732	7	690	0.0142795773804982	43	12297000	43
20220531 121156	0	0	0	1	hist	lossguide	256	0	1	0.0102981453687326	0.229861358241451	7	490	0.0138272158164802	407	13087000	44
20220531 121232	0	0	0	1	hist	lossguide	256	0	1	0.299531608694374	0.381427510229416	10	2	0.013890056433248	209	12957000	45
20220531 121256	0	0	0	1	hist	lossguide	256	0	1	0.299923860705849	0.421981767612533	10	494	0.0127707384910709	9	11535000	46
20220531 121337	0	0	0	1	hist	lossguide	256	0	1	0.160527824853997	0.351529900009953	10	2	0.014698436099765	243	12954000	47
20220531 121402	0	0	0	1	hist	lossguide	256	0	1	0.299809282756839	0.977536605363039	10	2	0.0146506619661797	106	12821000	48
20220531 121644	0	0	0	1	hist	lossguide	256	0	1	0.0100262815688432	0.383381675186492	8	13	0.0148251429890168	342	13528000	49
20220531 122037	0	0	0	1	hist	lossguide	256	0	1	0.0100328139536604	0.456304943073425	8	206	0.0148181586351874	291	13171000	50
20220531 122336	0	0	0	1	hist	lossguide	256	0	1	0.0101058429339375	0.382929390467292	7	1023	0.00834228705393793	57	12584000	51
20220531 122822	0	0	0	1	hist	lossguide	256	0	1	0.0128713801070538	0.473401338406966	9	2	0.0145959533710432	2145	13111000	52
20220531 123143	0	0	0	1	hist	lossguide	256	0	1	0.0101962717253457	0.901211525469205	10	661	0.0138162900457104	219	13600000	53
20220531 123526	0	0	0	1	hist	lossguide	256	0	1	0.0100245775505857	0.906866635656617	10	865	0.0137701052716697	262	13519000	54
20220531 123808	0	0	0	1	hist	lossguide	256	0	1	0.0102762181852716	0.4208457756392	7	11	0.0151102540199281	375	13487000	55
20220531 124149	0	0	0	1	hist	lossguide	256	0	1	0.0101302403243557	0.284801761451752	7	2	0.0189961194672754	1402	13007000	56
20220531 124228	0	0	0	1	hist	lossguide	256	0	1	0.285118015893246	0.997878409698169	3	1005	0.00833808111839372	16	8764000	57
20220531 124637	0	0	0	1	hist	lossguide	256	0	1	0.0100035971336662	0.512083076791756	3	546	0.0117711258099956	131	12797000	58
