fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 225334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	560	TRUE	0.0100634818719965	0.548111703115947	4243	815	0.0134905916264086	13528000	65
20220521 225723	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	261	TRUE	0.0225194286646724	0.301729489952931	1732	923	0.0168403923256063	13326000	66
20220521 225913	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	157	TRUE	0.0318411996066952	0.402945035409306	2539	22	0.0165566450581775	13521000	67
20220521 230330	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.0227001285472485	0.204820205008937	5	250	0.0111446795531999	7966000	68
20220521 231011	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	537	TRUE	0.0100986207620288	0.580442248017331	3144	73	0.0192133181275106	13710000	69
20220521 231803	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	857	TRUE	0.0104096309134575	0.31889509474521	3673	230	0.0176321912353293	13570000	70
20220521 231835	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.209793042122269	0.201931307708966	7999	225	0.0149953819551781	12922000	71
20220521 232052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	368	TRUE	0.0244693135006086	0.960041481793483	7998	16	0.00837031381612961	10904000	72
20220521 232129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.283714803361632	0.897300987541389	1574	1024	0.0170105005749645	11395000	73
20220521 233017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	534	TRUE	0.0106404877045772	0.518551139675978	1657	1024	0.0248060899737971	12581000	74
20220521 233653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	734	TRUE	0.0116390866333213	0.379033340042343	8000	993	0.0163187400764737	13187000	75
20220521 233756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	0.113015086928092	0.42079563149156	7475	344	0.0171691372524239	13413000	76
20220521 234354	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1002	TRUE	0.0101192330195781	0.216781254503286	2701	16	0.0308682483172919	11657000	77
20220521 234424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.299897098209236	0.347447326393566	7507	16	0.0177658954225113	12627000	78
20220521 234630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	223	TRUE	0.0244695322418456	0.800058355510118	4094	758	0.0121054272827619	12962000	79
20220521 234710	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.149325103812265	0.990028259778491	7996	1024	0.0180338611827484	12436000	80
20220521 234736	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.147611700531551	0.898714936181189	2986	16	0.0174359621854549	12543000	81
20220521 234801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.296341507816455	0.242415930039536	7	16	0.00853614652492795	10808000	82
